Date,Open,High,Low,Close,Volume,Market Cap
24-Nov-18,4347.69,4413.09,3795.16,3880.76," 4,679,500,000.00 "," 67,495,633,205.00 "
23-Nov-18,4360.7,4396.42,4195.68,4347.11," 4,871,490,000.00 "," 75,598,851,166.00 "
22-Nov-18,4611.57,4629.64,4365.64,4365.94," 4,569,370,000.00 "," 75,919,439,809.00 "
21-Nov-18,4465.54,4675.73,4343.98,4602.17," 6,120,120,000.00 "," 80,020,171,047.00 "
20-Nov-18,4863.93,4951.61,4272.11,4451.87," 8,428,290,000.00 "," 77,401,044,320.00 "
19-Nov-18,5620.78,5620.78,4842.91,4871.49," 7,039,560,000.00 "," 84,688,539,692.00 "
18-Nov-18,5559.74,5653.61,5559.74,5623.54," 4,159,680,000.00 "," 97,753,714,643.00 "
17-Nov-18,5578.58,5578.58,5519.56,5554.33," 4,303,150,000.00 "," 96,542,098,114.00 "
16-Nov-18,5645.32,5657.02,5498.94,5575.55," 5,279,320,000.00 "," 96,900,828,780.00 "
15-Nov-18,5736.15,5774.82,5358.38,5648.03," 7,032,140,000.00 "," 98,151,606,541.00 "
14-Nov-18,6351.24,6371.55,5544.09,5738.35," 7,398,940,000.00 "," 99,712,077,259.00 "
13-Nov-18,6373.19,6395.27,6342.67,6359.49," 4,503,800,000.00 "," 110,494,466,204.00 "
12-Nov-18,6411.76,6434.21,6360.47,6371.27," 4,295,770,000.00 "," 110,689,666,528.00 "
11-Nov-18,6413.63,6423.25,6350.17,6411.27," 3,939,060,000.00 "," 111,373,453,740.00 "
10-Nov-18,6386.13,6437.28,6385.31,6409.22," 3,705,320,000.00 "," 111,326,145,314.00 "
9-Nov-18,6442.6,6456.46,6373.37,6385.62," 4,346,820,000.00 "," 110,905,767,441.00 "
8-Nov-18,6522.27,6536.92,6438.53,6453.72," 4,665,260,000.00 "," 112,078,367,037.00 "
7-Nov-18,6468.5,6552.16,6468.31,6530.14," 4,941,260,000.00 "," 113,395,632,955.00 "
6-Nov-18,6433.38,6463.55,6408.16,6461.01," 4,700,040,000.00 "," 112,095,603,776.00 "
5-Nov-18,6363.62,6480.59,6363.62,6419.66," 4,174,800,000.00 "," 111,456,211,022.00 "
